INIT 1024 0 0 X
WRITE 0 1 0 0
WRITE 0 1 1 1
WRITE 0 1 2 2
WRITE 0 1 3 3
WRITE 0 1 4 4
WRITE 0 1 5 5
WRITE 0 1 6 6
WRITE 0 1 7 7
WRITE 0 1 8 8
WRITE 0 1 9 9
WRITE 0 1 10 A
WRITE 0 1 11 B
WRITE 0 1 12 C
WRITE 0 1 13 D
WRITE 0 1 14 E
WRITE 0 1 15 F
WRITE 0 1 16 G
WRITE 0 1 17 H
WRITE 1 1 0 I
WRITE 1 1 1 J
WRITE 1 1 2 K
WRITE 1 1 3 L
WRITE 1 1 4 M
WRITE 1 1 5 N
WRITE 1 1 6 O
WRITE 1 1 7 P
WRITE 1 1 8 Q
WRITE 1 1 9 R
WRITE 1 1 10 S
WRITE 1 1 11 T
WRITE 1 1 12 U
WRITE 1 1 13 V
WRITE 1 1 14 W
WRITE 1 1 15 X
WRITE 1 1 16 Y
WRITE 1 1 17 Z
WRITE 2 1 0 a
WRITE 2 1 1 b
WRITE 2 1 2 c
WRITE 2 1 3 d
WRITE 2 1 4 e
WRITE 2 1 5 f
WRITE 2 1 6 g
WRITE 2 1 7 h
WRITE 2 1 8 i
WRITE 2 1 9 j
WRITE 2 1 10 k
WRITE 2 1 11 l
WRITE 2 1 12 m
WRITE 2 1 13 n
WRITE 2 1 14 o
WRITE 2 1 15 p
WRITE 2 1 16 q
WRITE 2 1 17 r
WRITE 3 1 0 s
WRITE 3 1 1 t
WRITE 3 1 2 u
WRITE 3 1 3 v
WRITE 3 1 4 w
WRITE 3 1 5 x
WRITE 3 1 6 y
WRITE 3 1 7 z
WRITE 3 1 8 0
WRITE 3 1 9 1
WRITE 3 1 10 2
WRITE 3 1 11 3
WRITE 3 1 12 4
WRITE 3 1 13 5
WRITE 3 1 14 6
WRITE 3 1 15 7
WRITE 3 1 16 8
WRITE 3 1 17 9
WRITE 4 1 0 A
WRITE 4 1 1 B
WRITE 4 1 2 C
WRITE 4 1 3 D
WRITE 4 1 4 E
WRITE 4 1 5 F
WRITE 4 1 6 G
WRITE 4 1 7 H
WRITE 4 1 8 I
WRITE 4 1 9 J
WRITE 4 1 10 K
WRITE 4 1 11 L
WRITE 4 1 12 M
WRITE 4 1 13 N
WRITE 4 1 14 O
WRITE 4 1 15 P
WRITE 4 1 16 Q
WRITE 4 1 17 R
WRITE 5 1 0 S
WRITE 5 1 1 T
WRITE 5 1 2 U
WRITE 5 1 3 V
WRITE 5 1 4 W
WRITE 5 1 5 X
WRITE 5 1 6 Y
WRITE 5 1 7 Z
WRITE 5 1 8 a
WRITE 5 1 9 b
WRITE 5 1 10 c
WRITE 5 1 11 d
WRITE 5 1 12 e
WRITE 5 1 13 f
WRITE 5 1 14 g
WRITE 5 1 15 h
WRITE 5 1 16 i
WRITE 5 1 17 j
WRITE 6 1 0 k
WRITE 6 1 1 l
WRITE 6 1 2 m
WRITE 6 1 3 n
WRITE 6 1 4 o
WRITE 6 1 5 p
WRITE 6 1 6 q
WRITE 6 1 7 r
WRITE 6 1 8 s
WRITE 6 1 9 t
WRITE 6 1 10 u
WRITE 6 1 11 v
WRITE 6 1 12 w
WRITE 6 1 13 x
WRITE 6 1 14 y
WRITE 6 1 15 z
WRITE 6 1 16 0
WRITE 6 1 17 1
WRITE 7 1 0 2
WRITE 7 1 1 3
WRITE 7 1 2 4
WRITE 7 1 3 5
WRITE 7 1 4 6
WRITE 7 1 5 7
WRITE 7 1 6 8
WRITE 7 1 7 9
WRITE 7 1 8 A
WRITE 7 1 9 B
